category,question,answer
사내 규정,재택근무는 어떻게 신청하나요?,"사내 인트라넷 → 근무/근태 관리 메뉴에서 재택근무 신청서를 작성 후 팀장 승인 후 적용됩니다. 최소 하루 전까지 신청해주셔야 하며, 긴급 상황 시 부서장과 상의 후 유선으로도 신청 가능합니다."
사내 규정,사내 출입증을 분실했는데 어떻게 해야 하나요?,"출입증 분실 시 인사팀에 즉시 연락하여 분실 신고를 해주시고, 임시 출입증 발급 후 재발급 절차를 진행합니다. 재발급 비용이 발생할 수 있으니 유의해 주세요."
사내 규정,사내 메신저 사용 규정이 궁금합니다.,"업무 시간 중에는 자유롭게 사용 가능하며, 외부인과의 대화 시 보안 규정을 준수해야 합니다. 대화 기록은 일정 기간 보관되며, 민감한 개인정보는 메신저로 공유하지 않도록 유의해 주세요."
사내 규정,직원 복장 규정이 있나요?,"저희 회사는 비즈니스 캐주얼을 권장하며, 특정 복장 규정은 없습니다. 다만, 고객사 방문 시에는 단정한 정장 착용을 권고합니다."
사내 규정,정보 보안 수칙에 대해 알려주세요.,"모든 직원은 기밀 정보 유출 방지를 위해 정보 보안 수칙을 준수해야 합니다. 자세한 내용은 사내 보안 교육 자료를 확인해 주십시오."
사내 규정,사내 징계 기준은 무엇인가요?,"사내 징계 기준은 사규의 '인사 규정' 섹션에 명시되어 있습니다. 구체적인 사안 발생 시 인사팀에 문의하시기 바랍니다."
IT/시스템,사내 Wi-Fi 비밀번호가 궁금합니다.,"사내 Wi-Fi 이름은 “Company_WiFi”이며, 비밀번호는 입사 시 제공된 인트라넷 공지에서 확인 가능합니다. 보안 유지 차원에서 주기적으로 변경되며, 변경 시 별도 안내됩니다."
IT/시스템,노트북/PC 비밀번호를 잊어버렸는데 어떻게 하나요?,"Helpdesk(내선 1234)로 연락하거나 IT 지원 시스템에 접속해 비밀번호 초기화를 신청해 주세요. 본인 인증 후 비밀번호를 초기화해 드립니다."
IT/시스템,회사 메일 비밀번호를 변경하고 싶어요.,"회사 메일 포털 → [설정] → [비밀번호 변경] 메뉴에서 직접 변경 가능합니다. 보안을 위해 3개월마다 비밀번호 변경을 권장합니다."
IT/시스템,노트북 고장 시 어떻게 해야 하나요?,"노트북 고장 시 IT팀 헬프데스크로 연락주시거나 사내 IT지원 시스템을 통해 접수해주시면 됩니다."
IT/시스템,새로운 소프트웨어 설치 요청은 어디에 하나요?,"새로운 소프트웨어 설치는 IT지원 시스템의 '소프트웨어 설치 요청' 메뉴를 통해 신청할 수 있습니다."
IT/시스템,회사 메일함 용량을 늘릴 수 있나요?,"회사 메일함 용량 증설은 IT팀에 요청서를 제출하시면 검토 후 처리해 드립니다."
근무/근태,연차 잔여 일수는 어디서 확인하나요?,"사내 인트라넷 → 근태 관리 → 연차 조회 메뉴에서 본인의 연차 잔여 일수를 확인할 수 있습니다."
근무/근태,출근/퇴근 시간은 몇 시인가요?,"기본 출근 시간은 오전 9시, 퇴근 시간은 오후 6시이며, 점심시간은 12시부터 1시까지입니다. 부서별로 유연근무제가 적용될 수 있으니 팀장님께 확인해 주세요."
근무/근태,지각/조퇴 처리는 어떻게 하나요?,"인트라넷 근태 관리 메뉴에서 지각/조퇴 사유를 입력해 신청하고, 팀장님의 승인 후 반영됩니다. 긴급 상황인 경우 구두로도 선 보고 후 신청해 주세요."
근무/근태,초과 근무 수당은 어떻게 신청하나요?,"초과 근무는 팀장 승인 후 HR 시스템에 근무 시간을 입력하시면 자동으로 수당이 정산됩니다."
근무/근태,재택근무 시 근무 시간 기록은 어떻게 하나요?,"재택근무 시에도 HR 시스템에 접속하여 출퇴근 시간을 기록해야 합니다."
근무/근태,부서 이동을 신청할 수 있나요?,"네, 부서 이동은 최소 1년 이상 현 부서에서 근무한 경우, 매년 상반기에 진행되는 사내 공모를 통해 신청할 수 있습니다."
급여/복리후생,급여일은 언제인가요?,"급여는 매월 25일에 지급됩니다. 주말 및 공휴일일 경우 전일 또는 다음 영업일에 지급됩니다."
급여/복리후생,급여명세서는 어디서 확인하나요?,"매월 급여일에 사내 메일로 발송되며, 인트라넷 → 급여 조회 메뉴에서도 확인 가능합니다."
급여/복리후생,경조사비는 어떻게 신청하나요?,"경조사 발생 시 관련 증빙서류와 함께 인트라넷 경조사비 신청 메뉴를 통해 신청해 주세요. 인사팀 확인 후 급여와 함께 지급됩니다."
급여/복리후생,건강 검진은 언제 받을 수 있나요?,"모든 직원은 매년 1회 지정된 병원에서 무료 건강 검진을 받을 수 있으며, 일정은 개별 통보됩니다."
급여/복리후생,퇴직금은 어떻게 계산되나요?,"퇴직금은 근속 연수와 평균 임금에 따라 계산되며, 자세한 내용은 HR팀의 퇴직금 담당자에게 문의해 주십시오."
복지/휴가,연차는 어떻게 신청하나요?,"인트라넷 근태 관리 메뉴 → 연차 신청에서 날짜를 선택해 신청 후 팀장 승인 후 사용 가능합니다."
복지/휴가,반차/시간 단위 연차도 가능한가요?,"반차 및 2시간 단위 시간 연차 사용이 가능하며, 연차 신청 메뉴에서 선택 후 신청할 수 있습니다. 부서 일정과 업무 상황을 고려해 사용해 주세요."
복지/휴가,경조 휴가는 며칠 사용 가능한가요?,"결혼, 부모상, 자녀출산 등 상황에 따라 3~5일의 경조 휴가가 제공됩니다. 구체적인 일수와 사용 방법은 사내 규정을 참고하거나 인사팀으로 문의해 주세요."
복지/휴가,육아 휴직 신청 자격이 어떻게 되나요?,"육아 휴직은 만 8세 이하 자녀를 둔 직원에 한해 신청 가능하며, 최대 1년까지 사용할 수 있습니다."
복지/휴가,사내 동호회 활동 지원이 있나요?,"네, 사내 동호회는 월별 활동비가 지원됩니다. 동호회 등록 및 지원금 신청은 사내 게시판을 참조해 주십시오."
복지/휴가,자기계발 지원 프로그램은 어떤 것이 있나요?,"직원들의 역량 강화를 위해 외부 교육 수강료, 도서 구입비 등을 지원하는 자기계발 지원 프로그램이 운영 중입니다. 자세한 문의 사항은 HR팀에 문의해 주세요."